id	name	type	team	initiationDate	finalisationDate	finalStatus
1000310	Context-1000310	wushu	Team-19	2002-05-11		
1001640	Context-1001640	road cycling	Team-50	2003-06-10		
1002971	Context-1002971	pankration	Team-4	2010-09-03		
1000319	Context-1000319	tug-of-war	Team-70	1998-12-10		
1000315	Context-1000315	wushu	Team-84	2016-05-07		
1001647	Context-1001647	croquet	Team-23	2010-03-27		
1002978	Context-1002978	gymnastics	Team-9	2001-02-28		
1000316	Context-1000316	diving	Team-55	2015-09-21		
1001646	Context-1001646	chariot racing	Team-12	2009-11-23		
1002977	Context-1002977	racquets	Team-59	2014-05-28		
1000317	Context-1000317	triathlon	Team-84	2014-04-04		
1001649	Context-1001649	soccer	Team-29	2001-06-06		
1000318	Context-1000318	croquet	Team-51	1999-08-07		
1001648	Context-1001648	wrestling	Team-86	2003-01-21		
1002979	Context-1002979	road cycling	Team-51	2011-02-02		
1002921	Context-1002921	synchronized swimming	Team-10	2003-10-14		
1002920	Context-1002920	roller sport	Team-87	2000-05-07		
1002927	Context-1002927	sailing	Team-14	2007-11-13		
1002926	Context-1002926	fencing	Team-25	2015-07-02		
1002929	Context-1002929	karate	Team-16	2013-01-02		
1002928	Context-1002928	judo	Team-30	2011-08-14		
1002923	Context-1002923	croquet	Team-53	2011-01-06		
1002922	Context-1002922	racquets	Team-21	2001-11-03		
1002925	Context-1002925	fencing	Team-48	1999-01-07		
1002924	Context-1002924	beach volleyball	Team-42	2007-07-02		
1005193	Context-1005193	roller sport	Team-53	2015-03-09		
1005192	Context-1005192	judo	Team-8	2012-12-11		
1005191	Context-1005191	tug-of-war	Team-88	1999-05-11		
1005190	Context-1005190	badminton	Team-3	2000-07-22		
1002919	Context-1002919	badminton	Team-38	2010-07-18		
1005199	Context-1005199	softball	Team-36	1998-12-07		
1005198	Context-1005198	racquets	Team-74	1999-12-26		
1005197	Context-1005197	dancing	Team-9	2014-12-18		
1005196	Context-1005196	weightlifting	Team-14	2004-05-26		
1005195	Context-1005195	tennis	Team-20	2007-07-26		
1005194	Context-1005194	track cycling	Team-43	1999-01-08		
1002910	Context-1002910	road cycling	Team-18	2002-03-02		
1002916	Context-1002916	squash	Team-82	2014-06-18		
1002915	Context-1002915	tug-of-war	Team-80	2015-03-27		
1002918	Context-1002918	underwater swimming	Team-42	2009-12-21		
1002917	Context-1002917	shooting	Team-14	2005-12-20		
1002912	Context-1002912	wushu	Team-20	2011-09-11		
1002911	Context-1002911	pankration	Team-24	2015-06-24		
1002914	Context-1002914	wrestling	Team-14	2008-10-13		
1002913	Context-1002913	archery	Team-77	2014-07-18		
1005182	Context-1005182	lacrosse	Team-93	2009-08-07		
1005181	Context-1005181	swimming	Team-40	2004-06-21		
1005180	Context-1005180	obstacle race for swimming	Team-84	2002-02-17		
1002909	Context-1002909	baseball	Team-80	2013-10-20		
1002908	Context-1002908	swimming	Team-41	2010-05-06		
1005189	Context-1005189	track cycling	Team-34	2016-06-09		
1005188	Context-1005188	fencing	Team-69	2008-05-02		
1005187	Context-1005187	gymnastics	Team-70	2004-11-12		
1005186	Context-1005186	handball	Team-66	2009-04-01		
1005185	Context-1005185	jeu de paume	Team-62	2009-10-19		
1005184	Context-1005184	chariot racing	Team-56	2016-05-08		
1005183	Context-1005183	diving	Team-95	2000-05-03		
1001610	Context-1001610	netball	Team-19	2011-08-04		
1002941	Context-1002941	underwater swimming	Team-18	2015-12-10		
1002940	Context-1002940	taekwondo	Team-69	2016-11-10		
1001612	Context-1001612	handball	Team-86	2000-10-10		
1002943	Context-1002943	jeu de paume	Team-52	2013-08-24		
1001611	Context-1001611	croquet	Team-9	2006-01-15		
1002942	Context-1002942	bowling	Team-34	2015-12-05		
1001618	Context-1001618	lacrosse	Team-57	2010-03-03		
1002949	Context-1002949	basketball	Team-13	2013-03-18		
1001617	Context-1001617	jeu de paume	Team-65	2008-02-09		
1002948	Context-1002948	underwater swimming	Team-83	2007-07-02		
1001619	Context-1001619	judo	Team-34	2002-05-21		
1001614	Context-1001614	table tennis	Team-93	2006-06-28		
1002945	Context-1002945	climbing	Team-1	2006-10-22		
1001613	Context-1001613	underwater swimming	Team-71	2017-06-23		
1002944	Context-1002944	racquets	Team-34	2017-02-22		
1001616	Context-1001616	jeu de paume	Team-39	1998-11-20		
1002947	Context-1002947	plunge for distance	Team-57	2016-04-24		
1001615	Context-1001615	obstacle race for swimming	Team-19	2005-09-12		
1002946	Context-1002946	softball	Team-26	2006-03-19		
1002930	Context-1002930	synchronized swimming	Team-35	2007-01-17		
1001601	Context-1001601	squash	Team-37	2007-06-16		
1002932	Context-1002932	racquets	Team-68	2004-11-23		
1001600	Context-1001600	wakeboard	Team-43	1998-09-13		
1002931	Context-1002931	netball	Team-26	2017-04-13		
1001607	Context-1001607	pentathlon	Team-28	2005-05-23		
1002938	Context-1002938	polo	Team-71	1999-02-04		
1001606	Context-1001606	netball	Team-22	2013-05-21		
1002937	Context-1002937	kayak	Team-20	2003-12-22		
1001609	Context-1001609	weightlifting	Team-25	2001-09-12		
1001608	Context-1001608	jeu de paume	Team-74	2003-06-08		
1002939	Context-1002939	tennis	Team-49	2016-03-27		
1001603	Context-1001603	roller sport	Team-82	2012-06-12		
1002934	Context-1002934	canoe	Team-44	2002-06-14		
1001602	Context-1001602	climbing	Team-86	2000-08-08		
1002933	Context-1002933	field hockey	Team-56	2009-10-17		
1001605	Context-1001605	road cycling	Team-1	2009-04-02		
1002936	Context-1002936	croquet	Team-37	2003-06-11		
1001604	Context-1001604	field hockey	Team-53	2008-10-25		
1002935	Context-1002935	motor boating	Team-44	2009-09-14		
1000388	Context-1000388	volleyball (indoor)	Team-17	2010-07-10		
1000389	Context-1000389	gymnastics	Team-18	2001-04-12		
1000384	Context-1000384	karate	Team-45	1999-03-20		
1000385	Context-1000385	rugby union	Team-13	2012-03-12		
1000386	Context-1000386	climbing	Team-21	2008-06-13		
1000387	Context-1000387	rowing	Team-65	2001-10-18		
1000380	Context-1000380	karate	Team-72	2014-01-22		
1000381	Context-1000381	lacrosse	Team-51	1999-12-17		
1000382	Context-1000382	polo	Team-48	2001-09-15		
1000383	Context-1000383	dancing	Team-41	2002-10-07		
1000377	Context-1000377	triathlon	Team-38	2016-05-01		
1000378	Context-1000378	badminton	Team-80	1998-09-15		
1000379	Context-1000379	baseball	Team-95	2011-03-01		
1000373	Context-1000373	plunge for distance	Team-67	2014-01-13		
1000374	Context-1000374	fencing	Team-98	2011-02-01		
1000375	Context-1000375	squash	Team-80	2009-03-23		
1000376	Context-1000376	baseball	Team-78	2012-11-24		
1000370	Context-1000370	baseball	Team-22	2011-01-08		
1000371	Context-1000371	beach volleyball	Team-20	2005-10-15		
1000372	Context-1000372	shooting	Team-45	2007-10-21		
1000399	Context-1000399	racquets	Team-98	2004-07-19		
1000395	Context-1000395	track and field	Team-65	2015-07-08		
1000396	Context-1000396	motor boating	Team-46	2005-06-14		
1000397	Context-1000397	badminton	Team-28	2017-08-14		
1000398	Context-1000398	track cycling	Team-82	2000-07-27		
1000391	Context-1000391	track cycling	Team-26	2008-10-11		
1000392	Context-1000392	canoe	Team-64	2000-09-20		
1000393	Context-1000393	synchronized swimming	Team-48	2016-07-08		
1000394	Context-1000394	kayak	Team-23	2005-05-17		
1000390	Context-1000390	boxing	Team-25	2010-05-13		
1000344	Context-1000344	bowling	Team-80	2005-09-14		
1001676	Context-1001676	table tennis	Team-4	2003-10-17		
1000345	Context-1000345	karate	Team-25	2003-05-14		
1001675	Context-1001675	rugby 7s	Team-39	2004-10-09		
1000346	Context-1000346	gymnastics	Team-94	2000-05-17		
1001678	Context-1001678	cricket	Team-43	2005-06-15		
1000347	Context-1000347	pentathlon	Team-98	1998-06-16		
1001677	Context-1001677	cricket	Team-95	2002-11-18		
1000340	Context-1000340	wakeboard	Team-68	2003-03-11		
1001672	Context-1001672	softball	Team-55	1999-06-26		
1000341	Context-1000341	jeu de paume	Team-31	2009-08-01		
1001671	Context-1001671	road cycling	Team-79	2000-12-23		
1000342	Context-1000342	croquet	Team-36	2017-10-18		
1001674	Context-1001674	kayak	Team-85	2013-11-19		
1000343	Context-1000343	plunge for distance	Team-18	2014-02-03		
1001673	Context-1001673	netball	Team-61	2007-07-02		
1000348	Context-1000348	weightlifting	Team-93	2004-09-03		
1000349	Context-1000349	rowing	Team-63	1999-06-09		
1001679	Context-1001679	judo	Team-2	2002-09-03		
1001670	Context-1001670	golf	Team-31	2015-11-10		
1000333	Context-1000333	climbing	Team-15	2005-04-25		
1001665	Context-1001665	road cycling	Team-72	2002-07-18		
1002996	Context-1002996	handball	Team-4	2006-05-09		
1000334	Context-1000334	judo	Team-9	2005-06-24		
1001664	Context-1001664	pankration	Team-78	2001-06-20		
1002995	Context-1002995	croquet	Team-38	2002-05-07		
1000335	Context-1000335	baseball	Team-55	2017-07-03		
1001667	Context-1001667	track and field	Team-55	1999-02-22		
1002998	Context-1002998	rugby union	Team-25	2006-04-19		
1000336	Context-1000336	tennis	Team-72	2004-06-12		
1001666	Context-1001666	kayak	Team-22	2016-07-17		
1002997	Context-1002997	softball	Team-83	2012-03-18		
1001661	Context-1001661	table tennis	Team-46	1998-05-15		
1002992	Context-1002992	tug-of-war	Team-4	2002-10-23		
1000330	Context-1000330	track cycling	Team-68	2015-08-23		
1001660	Context-1001660	croquet	Team-49	2010-09-11		
1002991	Context-1002991	chariot racing	Team-94	1999-06-15		
1000331	Context-1000331	rugby 7s	Team-87	1998-03-17		
1001663	Context-1001663	diving	Team-24	1999-10-18		
1002994	Context-1002994	karate	Team-55	2001-04-08		
1000332	Context-1000332	softball	Team-72	2010-09-11		
1001662	Context-1001662	water polo	Team-11	2017-07-07		
1002993	Context-1002993	chariot racing	Team-96	2013-04-02		
1000337	Context-1000337	bowling	Team-58	1999-11-09		
1001669	Context-1001669	road cycling	Team-83	1998-03-20		
1000338	Context-1000338	golf	Team-44	1999-09-18		
1001668	Context-1001668	rugby 7s	Team-83	2015-12-19		
1002999	Context-1002999	taekwondo	Team-48	2006-03-25		
1000339	Context-1000339	triathlon	Team-97	2017-09-06		
1002990	Context-1002990	surfing	Team-29	2008-11-22		
1000366	Context-1000366	wushu	Team-79	2002-06-19		
1001698	Context-1001698	canoe	Team-22	2001-09-18		
1000367	Context-1000367	archery	Team-87	2011-09-03		
1001697	Context-1001697	rugby 7s	Team-20	1998-08-07		
1000368	Context-1000368	boxing	Team-55	2001-04-22		
1000369	Context-1000369	jeu de paume	Team-86	2008-04-16		
1001699	Context-1001699	plunge for distance	Team-67	2008-08-13		
1000362	Context-1000362	equestrian	Team-42	2009-11-10		
1001694	Context-1001694	cricket	Team-55	1999-10-16		
1000363	Context-1000363	badminton	Team-37	2004-02-07		
1001693	Context-1001693	water polo	Team-49	2006-01-06		
1000364	Context-1000364	handball	Team-98	2006-04-24		
1001696	Context-1001696	gymnastics	Team-27	2000-03-18		
1000365	Context-1000365	underwater swimming	Team-96	2009-11-07		
1001695	Context-1001695	climbing	Team-30	2014-04-10		
1001690	Context-1001690	field hockey	Team-49	2005-10-19		
1000360	Context-1000360	tug-of-war	Team-84	2008-01-10		
1001692	Context-1001692	table tennis	Team-9	2001-09-05		
1000361	Context-1000361	climbing	Team-65	2008-02-19		
1001691	Context-1001691	handball	Team-71	1999-08-14		
1000355	Context-1000355	track cycling	Team-95	2017-10-28		
1001687	Context-1001687	motor boating	Team-72	2007-03-04		
1000356	Context-1000356	jeu de paume	Team-50	2012-12-10		
1001686	Context-1001686	kayak	Team-96	2014-09-12		
1000357	Context-1000357	squash	Team-47	2002-09-09		
1001689	Context-1001689	racquets	Team-18	2017-07-27		
1000358	Context-1000358	boxing	Team-13	2012-01-09		
1001688	Context-1001688	cricket	Team-9	2006-05-18		
1000351	Context-1000351	baseball	Team-12	2002-09-17		
1001683	Context-1001683	bowling	Team-21	2014-11-17		
1000352	Context-1000352	motor boating	Team-45	2017-01-26		
1001682	Context-1001682	polo	Team-88	1998-12-20		
1000353	Context-1000353	volleyball (indoor)	Team-60	2005-12-13		
1001685	Context-1001685	karate	Team-61	2001-11-08		
1000354	Context-1000354	cricket	Team-27	2013-02-20		
1001684	Context-1001684	triathlon	Team-11	2013-02-04		
1000359	Context-1000359	synchronized swimming	Team-47	2017-02-02		
1001681	Context-1001681	bowling	Team-37	2017-12-21		
1000350	Context-1000350	volleyball (indoor)	Team-25	1999-11-08		
1001680	Context-1001680	swimming	Team-40	2005-08-14		
1006529	Context-1006529	bowling	Team-89	2017-09-28		
1006528	Context-1006528	field hockey	Team-38	2009-09-04		
1006527	Context-1006527	lacrosse	Team-37	2009-12-27		
1006526	Context-1006526	rowing	Team-65	1998-11-28		
1006525	Context-1006525	judo	Team-31	2009-04-07		
1006524	Context-1006524	rugby 7s	Team-18	2008-05-20		
1006523	Context-1006523	bowling	Team-75	2008-01-08		
1006522	Context-1006522	lacrosse	Team-44	2012-04-13		
1007853	Context-1007853	canoe	Team-65	2008-09-01		
1007854	Context-1007854	squash	Team-41	2008-12-25		
1007855	Context-1007855	lacrosse	Team-62	2014-08-24		
1007856	Context-1007856	fencing	Team-65	2015-11-14		
1007857	Context-1007857	tug-of-war	Team-51	2003-04-18		
1007858	Context-1007858	squash	Team-61	2009-02-01		
1007859	Context-1007859	badminton	Team-26	2002-10-02		
1007850	Context-1007850	road cycling	Team-79	2012-09-28		
1007851	Context-1007851	canoe	Team-25	2007-05-08		
1007852	Context-1007852	sailing	Team-70	2013-04-27		
1006521	Context-1006521	track cycling	Team-46	2002-08-09		
1006520	Context-1006520	dancing	Team-16	2009-03-28		
1006518	Context-1006518	pankration	Team-89	2015-06-07		
1006517	Context-1006517	soccer	Team-27	2001-01-21		
1006516	Context-1006516	roller sport	Team-74	2003-05-23		
1006515	Context-1006515	wushu	Team-77	2015-01-01		
1006514	Context-1006514	bowling	Team-68	2001-06-09		
1006513	Context-1006513	sailing	Team-33	2015-08-14		
1006512	Context-1006512	beach volleyball	Team-19	2005-11-27		
1006511	Context-1006511	baseball	Team-42	2017-08-28		
1007842	Context-1007842	table tennis	Team-7	2006-12-21		
1007843	Context-1007843	track cycling	Team-6	2005-04-16		
1007844	Context-1007844	sailing	Team-59	2005-04-06		
1007845	Context-1007845	track cycling	Team-81	2009-07-22		
1007846	Context-1007846	handball	Team-35	2007-06-24		
1007847	Context-1007847	beach volleyball	Team-8	2003-09-22		
1007848	Context-1007848	sailing	Team-62	2010-11-22		
1006519	Context-1006519	boxing	Team-73	2009-01-09		
1007849	Context-1007849	canoe	Team-21	2015-07-14		
1007840	Context-1007840	handball	Team-40	2007-02-03		
1007841	Context-1007841	baseball	Team-31	2016-12-05		
1006510	Context-1006510	triathlon	Team-6	2006-08-01		
1005219	Context-1005219	rowing	Team-49	2013-08-20		
1005218	Context-1005218	equestrian	Team-47	2014-10-09		
1006549	Context-1006549	fencing	Team-20	2007-03-12		
1005217	Context-1005217	motor boating	Team-77	2013-04-21		
1006548	Context-1006548	pankration	Team-70	2008-02-28		
1005216	Context-1005216	table tennis	Team-36	2012-11-04		
1006547	Context-1006547	boxing	Team-27	2008-03-08		
1005215	Context-1005215	surfing	Team-95	2015-07-25		
1006546	Context-1006546	rugby union	Team-13	2007-08-22		
1005214	Context-1005214	motor boating	Team-8	1998-03-25		
1006545	Context-1006545	kayak	Team-76	2001-09-14		
1005213	Context-1005213	boxing	Team-78	2011-08-19		
1006544	Context-1006544	boxing	Team-98	2010-09-07		
1007875	Context-1007875	synchronized swimming	Team-29	2010-05-02		
1007876	Context-1007876	sailing	Team-47	2009-07-27		
1007877	Context-1007877	swimming	Team-72	2002-03-24		
1007878	Context-1007878	pentathlon	Team-75	2003-05-21		
1007879	Context-1007879	softball	Team-73	2005-11-07		
1007870	Context-1007870	cricket	Team-58	2003-09-09		
1007871	Context-1007871	lacrosse	Team-28	2009-09-04		
1007872	Context-1007872	baseball	Team-25	2016-01-13		
1007873	Context-1007873	shooting	Team-74	2006-03-17		
1007874	Context-1007874	canoe	Team-34	1999-01-02		
1005212	Context-1005212	boxing	Team-13	2006-12-15		
1006543	Context-1006543	road cycling	Team-92	2012-11-26		
1005211	Context-1005211	rugby union	Team-95	2016-01-10		
1006542	Context-1006542	softball	Team-54	2006-12-27		
1005210	Context-1005210	weightlifting	Team-9	2011-02-23		
1006541	Context-1006541	gymnastics	Team-30	2003-08-19		
1006540	Context-1006540	weightlifting	Team-89	1999-02-18		
1005209	Context-1005209	judo	Team-30	2007-10-06		
1005208	Context-1005208	croquet	Team-70	1999-02-16		
1006539	Context-1006539	polo	Team-28	2001-08-02		
1005207	Context-1005207	tug-of-war	Team-55	2002-01-20		
1006538	Context-1006538	basketball	Team-8	2000-11-05		
1005206	Context-1005206	surfing	Team-20	2011-11-02		
1006537	Context-1006537	swimming	Team-67	2007-09-06		
1005205	Context-1005205	chariot racing	Team-83	2003-02-14		
1006536	Context-1006536	judo	Team-87	2010-05-23		
1005204	Context-1005204	track cycling	Team-79	1999-12-13		
1006535	Context-1006535	synchronized swimming	Team-32	2005-11-12		
1005203	Context-1005203	baseball	Team-63	2000-04-17		
1006534	Context-1006534	croquet	Team-37	2007-09-17		
1005202	Context-1005202	shooting	Team-95	2005-08-10		
1006533	Context-1006533	tennis	Team-9	2017-12-08		
1007864	Context-1007864	golf	Team-7	2001-11-03		
1007865	Context-1007865	dancing	Team-87	2015-10-27		
1007866	Context-1007866	baseball	Team-8	2012-07-19		
1007867	Context-1007867	softball	Team-20	2014-01-06		
1007868	Context-1007868	squash	Team-83	2010-03-11		
1007869	Context-1007869	wushu	Team-30	2014-04-06		
1007860	Context-1007860	basketball	Team-9	2009-11-11		
1007861	Context-1007861	kayak	Team-7	2009-04-20		
1007862	Context-1007862	dancing	Team-43	2008-10-05		
1007863	Context-1007863	rugby union	Team-84	2004-02-22		
1005201	Context-1005201	swimming	Team-42	1998-02-26		
1006532	Context-1006532	table tennis	Team-35	2012-05-27		
1005200	Context-1005200	jeu de paume	Team-34	2007-07-28		
1006531	Context-1006531	cricket	Team-31	2013-12-27		
1006530	Context-1006530	polo	Team-29	2003-06-18		
1007817	Context-1007817	racquets	Team-8	2006-04-12		
1007818	Context-1007818	golf	Team-27	2013-09-07		
1007819	Context-1007819	boxing	Team-56	2003-07-04		
1007810	Context-1007810	soccer	Team-55	2003-04-22		
1007811	Context-1007811	taekwondo	Team-15	2007-04-15		
1007812	Context-1007812	sailing	Team-51	2005-02-20		
1007813	Context-1007813	basketball	Team-56	2010-07-20		
1007814	Context-1007814	karate	Team-33	2017-10-03		
1007815	Context-1007815	surfing	Team-51	2005-05-08		
1007816	Context-1007816	tennis	Team-51	2012-09-09		
1007806	Context-1007806	basketball	Team-75	2014-09-08		
1007807	Context-1007807	dancing	Team-18	2001-12-22		
1007808	Context-1007808	gymnastics	Team-47	1998-11-28		
1007809	Context-1007809	pankration	Team-32	2011-10-19		
1007800	Context-1007800	judo	Team-28	2011-10-12		
1007801	Context-1007801	archery	Team-85	2001-12-06		
1007802	Context-1007802	jeu de paume	Team-72	2002-04-12		
1007803	Context-1007803	archery	Team-16	2006-08-24		
1007804	Context-1007804	netball	Team-88	2007-06-05		
1007805	Context-1007805	baseball	Team-21	2007-06-21		
1006507	Context-1006507	canoe	Team-32	2008-05-07		
1007839	Context-1007839	croquet	Team-36	2015-12-04		
1006506	Context-1006506	wrestling	Team-10	2003-11-28		
1006505	Context-1006505	baseball	Team-78	2017-02-07		
1006504	Context-1006504	climbing	Team-91	2000-10-07		
1006503	Context-1006503	cricket	Team-10	2000-01-25		
1006502	Context-1006502	road cycling	Team-91	2007-07-07		
1006501	Context-1006501	pankration	Team-37	2016-03-26		
1006500	Context-1006500	wakeboard	Team-10	2016-09-09		
1007831	Context-1007831	croquet	Team-71	2017-08-13		
1007832	Context-1007832	motor boating	Team-17	2017-03-12		
1007833	Context-1007833	table tennis	Team-71	2001-04-20		
1007834	Context-1007834	jeu de paume	Team-24	2002-11-03		
1007835	Context-1007835	track and field	Team-39	2015-12-27		
1007836	Context-1007836	karate	Team-56	2004-08-05		
1006509	Context-1006509	boxing	Team-12	2009-01-22		
1007837	Context-1007837	chariot racing	Team-75	2017-03-02		
1006508	Context-1006508	lacrosse	Team-48	2006-06-03		
1007838	Context-1007838	kayak	Team-90	2014-01-19		
1007830	Context-1007830	sailing	Team-11	2017-12-04		
1007828	Context-1007828	diving	Team-90	1999-07-24		
1007829	Context-1007829	archery	Team-22	2014-10-07		
1007820	Context-1007820	pankration	Team-29	2001-10-18		
1007821	Context-1007821	gymnastics	Team-67	2016-10-15		
1007822	Context-1007822	kayak	Team-38	2014-07-15		
1007823	Context-1007823	motor boating	Team-45	1998-02-25		
1007824	Context-1007824	track cycling	Team-44	2016-01-12		
1007825	Context-1007825	soccer	Team-3	2007-01-09		
1007826	Context-1007826	badminton	Team-23	2002-12-04		
1007827	Context-1007827	jeu de paume	Team-60	2006-11-17		
1005279	Context-1005279	baseball	Team-94	1999-02-08		
1005270	Context-1005270	tug-of-war	Team-40	2006-01-07		
1005278	Context-1005278	polo	Team-67	2008-04-08		
1005277	Context-1005277	swimming	Team-65	2004-06-03		
1005276	Context-1005276	canoe	Team-60	2015-07-09		
1005275	Context-1005275	pentathlon	Team-36	2000-12-23		
1005274	Context-1005274	swimming	Team-65	2005-12-13		
1005273	Context-1005273	tug-of-war	Team-87	2000-05-22		
1005272	Context-1005272	netball	Team-86	2006-09-21		
1005271	Context-1005271	rugby 7s	Team-98	2000-09-27		
1005269	Context-1005269	track cycling	Team-10	2014-01-24		
1005268	Context-1005268	golf	Team-25	1998-07-17		
1006599	Context-1006599	rugby 7s	Team-74	2016-01-04		
1006590	Context-1006590	pentathlon	Team-60	2012-08-24		
1005267	Context-1005267	bowling	Team-90	2009-10-12		
1006598	Context-1006598	tennis	Team-7	2006-01-07		
1005266	Context-1005266	wakeboard	Team-25	2002-01-26		
1006597	Context-1006597	field hockey	Team-20	2008-04-06		
1005265	Context-1005265	archery	Team-25	2016-08-21		
1006596	Context-1006596	field hockey	Team-36	2000-11-21		
1005264	Context-1005264	track cycling	Team-62	1999-02-28		
1006595	Context-1006595	racquets	Team-22	2006-09-08		
1005263	Context-1005263	cricket	Team-98	2008-07-09		
1006594	Context-1006594	handball	Team-47	2000-05-10		
