id	name	type	location	team	initiationDate	finalisationDate	finalStatus
1083	Taekwondo-1083	Taekwondo	West End (Brisbane - Qld)	Team-31	2015-01-27	2016-10-25	
1084	Canoe-1084	Canoe	Doncaster	Team-41	2015-03-07	2017-01-30	
1085	Equestrian-1085	Equestrian	Quialigo	Team-38	2013-10-02	2015-10-05	
1086	Badminton-1086	Badminton	Carss Park	Team-27	2002-02-21	2004-01-09	
1087	Hockey-1087	Hockey	Bayswater (WA)	Team-42	2013-02-05	2013-08-01	
1088	Equestrian-1088	Equestrian	Deer Park	Team-29	2016-10-10	2018-01-15	
1089	Hockey-1089	Hockey	Chile	Team-89	2003-05-15	2004-10-12	
1090	Surfing-1090	Surfing	Emerton	Team-56	2005-12-12	2007-07-15	
1091	Archery-1091	Archery	Bella Vista	Team-66	2013-12-14	2015-07-31	
1092	Baseball-1092	Baseball	Pakenham	Team-95	2004-11-17	2006-10-28	
1093	Fencing-1093	Fencing	Port Augusta	Team-83	2014-04-07	2015-06-17	
1094	Rowing-1094	Rowing	Otford	Team-62	1999-07-05	2001-03-08	
1095	Kayak-1095	Kayak	Mirrabooka (NSW)	Team-67	1999-12-02	2001-10-07	
1096	Rowing-1096	Rowing	Benowa	Team-35	2006-07-28	2008-03-05	
1097	Gymnastics-1097	Gymnastics	Millner	Team-51	2016-11-10	2018-10-15	
1098	Archery-1098	Archery	Malta	Team-56	2011-07-04	2011-09-18	
1099	Pentathlon-1099	Pentathlon	Mortdale	Team-72	2004-09-17	2006-08-13	
1100	Racquets-1100	Racquets	Lynton	Team-4	2015-03-12	2017-01-15	
1101	Basketball-1101	Basketball	Hamilton (NSW)	Team-34	2010-11-16	2012-09-06	
1102	Taekwondo-1102	Taekwondo	Glenfield (NSW)	Team-13	2006-12-21	2008-05-12	
1103	Water polo-1103	Water polo	Adelaide	Team-7	2001-06-21	2003-04-07	
1104	Cricket-1104	Cricket	Kincumber South	Team-31	2007-03-14	2008-10-18	
1105	Squash-1105	Squash	Tutunup	Team-47	2004-11-04	2006-06-25	
1106	Track and field-1106	Track and field	Marangaroo	Team-94	2012-08-15	2014-07-15	
1107	Archery-1107	Archery	Rosebery (NT)	Team-87	2001-04-06	2002-02-23	
1108	Soccer-1108	Soccer	Marsden	Team-97	2008-01-04	2009-07-23	
1109	Golf-1109	Golf	Pascoe Vale South	Team-72	2005-11-09	2007-07-08	
1110	Bowling-1110	Bowling	Guyana	Team-87	2006-04-04	2007-10-23	
1111	Dancing-1111	Dancing	Yeelanna	Team-25	2009-01-09	2010-10-26	
1112	Bowling-1112	Bowling	Yeelanna	Team-98	2003-08-18	2005-04-07	
1113	Tennis-1113	Tennis	Hillsborough (Lake Macquarie - NSW)	Team-87	1999-06-25	2001-05-21	
1114	Squash-1114	Squash	Hawthorn (Vic.)	Team-56	2001-02-27	2003-02-11	
1115	Golf-1115	Golf	Hassall Grove	Team-30	2008-11-12	2010-04-29	
1116	Handball-1116	Handball	Clinton (Qld)	Team-32	1999-09-15	2000-05-13	
1117	Surfing-1117	Surfing	Mooroolbark	Team-13	2015-10-27	2017-01-27	
1118	Racquets-1118	Racquets	Cobbitty	Team-1	2000-12-18	2002-09-26	
1119	Polo-1119	Polo	Glenmore Park	Team-55	2017-07-12	2019-07-14	
1120	Archery-1120	Archery	Waterford (Qld)	Team-83	1999-04-11	2000-12-18	
1121	Soccer-1121	Soccer	Kearneys Spring	Team-24	2007-10-21	2009-04-14	
1122	Sailing-1122	Sailing	Mysterton	Team-39	2015-01-07	2016-12-05	
1123	Triathlon-1123	Triathlon	Casula	Team-9	2000-05-28	2002-03-22	
1124	Weightlifting-1124	Weightlifting	Dynnyrne	Team-10	2012-08-17	2014-05-12	
1125	Racquets-1125	Racquets	Lindfield	Team-86	2017-09-11	2019-04-25	
1126	Handball-1126	Handball	North Sydney	Team-94	2002-10-14	2003-09-05	
1127	Cycling-1127	Cycling	Secret Harbour	Team-6	2016-11-20	2018-09-21	
1128	Fencing-1128	Fencing	Gambia	Team-80	2006-12-27	2008-11-22	
1129	Taekwondo-1129	Taekwondo	Balmain East	Team-16	2009-06-12	2010-07-07	
1130	Polo-1130	Polo	Mount Claremont	Team-89	2000-03-05	2002-02-20	
1131	Golf-1131	Golf	Japan	Team-62	2007-12-23	2008-05-15	
1132	Fencing-1132	Fencing	Crestmead	Team-12	2009-09-17	2011-07-22	
1133	Rowing-1133	Rowing	Brunswick East	Team-46	2004-08-28	2006-08-24	
1134	Netball-1134	Netball	The Entrance	Team-64	2003-07-09	2004-12-16	
1135	Cycling-1135	Cycling	Ripponlea	Team-87	2004-08-07	2006-07-06	
1136	Canoe-1136	Canoe	Empire Vale	Team-57	2001-02-06	2002-05-15	
1137	Wrestling-1137	Wrestling	West Wollongong	Team-9	2014-12-13	2015-04-10	
1138	Swimming-1138	Swimming	Elizabeth Bay	Team-8	2017-05-15	2019-04-27	
1139	Wrestling-1139	Wrestling	Banora Point	Team-69	2014-04-17	2016-03-14	
1140	Racquets-1140	Racquets	Surrey Downs	Team-3	1999-02-12	2001-02-08	
1141	Golf-1141	Golf	Irymple (Vic.)	Team-41	2002-12-14	2003-09-18	
1142	Pentathlon-1142	Pentathlon	Speers Point	Team-8	2011-08-23	2013-06-29	
1143	Equestrian-1143	Equestrian	Glen Iris (Vic.)	Team-1	2014-07-14	2016-05-07	
1144	Sailing-1144	Sailing	Yallabatharra	Team-60	2012-08-01	2014-01-17	
1145	Fencing-1145	Fencing	Salisbury East	Team-83	2017-06-17	2018-02-22	
1146	Netball-1146	Netball	Fairy Meadow	Team-96	2013-11-23	2015-08-27	
1147	Badminton-1147	Badminton	Menora	Team-71	1998-02-12	1999-11-07	
1148	Rowing-1148	Rowing	Mount Pleasant (NSW)	Team-5	1999-05-13	2001-01-26	
1149	Racquets-1149	Racquets	Moorebank	Team-76	2002-01-20	2003-11-18	
1150	Hockey-1150	Hockey	Gormans Hill	Team-72	2005-07-16	2005-10-06	
1151	Weightlifting-1151	Weightlifting	Kingsthorpe	Team-45	2001-08-22	2002-12-02	
1152	Polo-1152	Polo	Jarvisfield	Team-88	2009-11-01	2011-06-12	
1153	Fencing-1153	Fencing	Meldale	Team-57	2006-03-12	2007-11-22	
1154	Baseball-1154	Baseball	Maylands (WA)	Team-75	2006-08-01	2007-12-21	
1155	Surfing-1155	Surfing	South Penrith	Team-41	2011-09-11	2013-04-18	
1156	Basketball-1156	Basketball	Hervey Range (Charters Towers - Qld)	Team-53	2009-01-18	2011-01-22	
1157	Rugby 7s-1157	Rugby 7s	Eschol	Team-92	2003-06-09	2005-03-02	
1158	Hockey-1158	Hockey	Wavell Heights	Team-14	2010-10-23	2012-09-25	
1159	Track and field-1159	Track and field	Redlynch	Team-93	2012-09-19	2014-06-01	
1160	Dancing-1160	Dancing	Kingston (Tas.)	Team-41	2010-07-11	2011-09-25	
1161	Track and field-1161	Track and field	South Maitland	Team-43	2002-09-22	2004-06-21	
1162	Rugby 7s-1162	Rugby 7s	Cockburn Central	Team-32	2017-02-13	2018-10-26	
1163	Pentathlon-1163	Pentathlon	Warwick Farm	Team-11	2003-06-21	2004-10-05	
1164	Softball-1164	Softball	Libya	Team-72	2009-12-13	2011-11-18	
1165	Volleyball-1165	Volleyball	Blackstone Heights	Team-36	2009-10-26	2011-05-28	
1166	Dancing-1166	Dancing	Churchill (Vic.)	Team-13	2010-07-12	2011-04-09	
1167	Dancing-1167	Dancing	Cecil Hills	Team-17	2005-04-28	2005-06-08	
1168	Netball-1168	Netball	Georges Plains	Team-53	1999-07-19	2000-10-12	
1169	Rugby 7s-1169	Rugby 7s	Bellbird Park	Team-68	2015-01-24	2016-11-08	
1170	Wrestling-1170	Wrestling	Aberfoyle Park	Team-12	2001-10-17	2002-11-27	
1171	Handball-1171	Handball	Clarkson	Team-91	2000-12-24	2001-08-13	
1172	Track and field-1172	Track and field	Yuraygir	Team-52	2011-01-23	2011-11-05	
1173	Track and field-1173	Track and field	Endeavour Hills	Team-45	2009-01-17	2010-12-08	
1174	Gymnastics-1174	Gymnastics	Fairfield West	Team-32	2008-02-02	2009-12-04	
1175	Polo-1175	Polo	Glen Forrest	Team-4	2017-07-28	2019-08-02	
1176	Gymnastics-1176	Gymnastics	Wilston	Team-93	2017-11-17	2019-08-02	
1177	Weightlifting-1177	Weightlifting	Silver Sands	Team-40	1998-01-26	1998-08-07	
1178	Tennis-1178	Tennis	Regentville	Team-6	2010-07-26	2012-04-30	
1179	Triathlon-1179	Triathlon	Wolvi	Team-86	2012-08-11	2014-01-23	
1180	Canoe-1180	Canoe	Lysterfield	Team-66	2015-05-07	2017-02-28	
1181	Golf-1181	Golf	Belrose	Team-57	2013-02-08	2015-01-04	
1182	Squash-1182	Squash	Alphington	Team-43	2016-11-04	2018-01-02	
1183	Baseball-1183	Baseball	Kewdale	Team-11	2016-08-13	2017-08-13	
1184	Hockey-1184	Hockey	Tanilba Bay	Team-81	2013-07-10	2013-10-11	
1185	Croquet-1185	Croquet	Aspendale Gardens	Team-43	2005-07-12	2007-06-23	
1186	Handball-1186	Handball	Berwick	Team-10	2004-02-16	2006-02-20	
1187	Cricket-1187	Cricket	Sunbury	Team-22	2006-09-26	2008-04-27	
1188	Softball-1188	Softball	Burundi	Team-86	2004-05-05	2005-11-27	
1189	Rugby union-1189	Rugby union	Kew (Vic.)	Team-19	2012-10-08	2014-09-01	
1190	Rowing-1190	Rowing	Ballajura	Team-55	2005-11-26	2007-09-02	
1191	Hockey-1191	Hockey	Doncaster East	Team-73	2007-07-07	2008-04-27	
1192	Climbing-1192	Climbing	Tomingley	Team-74	2005-11-24	2007-08-20	
1193	Squash-1193	Squash	Cable Beach	Team-5	1998-03-22	2000-02-20	
1194	Karate-1194	Karate	Liffey	Team-94	2009-03-13	2010-01-15	
1195	Shooting-1195	Shooting	Somersby	Team-72	2003-09-07	2005-09-11	
1196	Cycling-1196	Cycling	Mount Waverley	Team-78	2009-02-22	2010-07-04	
1197	Badminton-1197	Badminton	Italy	Team-88	2008-01-16	2009-12-05	
1198	Soccer-1198	Soccer	Glenside	Team-60	2009-06-13	2011-06-03	
1199	Volleyball-1199	Volleyball	Kiama	Team-67	2009-07-22	2011-05-24	
1200	Kayak-1200	Kayak	Invermay (Tas.)	Team-21	2001-11-03	2003-09-25	
1201	Rowing-1201	Rowing	Berrinba	Team-12	2012-04-17	2013-12-21	
1202	Squash-1202	Squash	Tarneit	Team-88	2007-04-07	2008-12-02	
1203	Golf-1203	Golf	Lebanon	Team-70	2003-02-25	2004-11-16	
1204	Climbing-1204	Climbing	Hawthorn East	Team-23	2007-04-23	2009-03-17	
1205	Rugby 7s-1205	Rugby 7s	Hampton (Vic.)	Team-6	2008-09-10	2010-03-10	
1206	Diving-1206	Diving	Hornsby	Team-64	2010-01-07	2011-11-23	
1207	Judo-1207	Judo	Murrumba Downs	Team-67	2011-08-26	2013-07-22	
1208	Rugby 7s-1208	Rugby 7s	Stockton (NSW)	Team-3	2007-02-10	2008-12-12	
1209	Hockey-1209	Hockey	Eli Waters	Team-44	2015-03-23	2015-11-18	
1210	Wrestling-1210	Wrestling	East Brisbane	Team-29	2008-03-14	2010-03-12	
1211	Golf-1211	Golf	Hope Valley (SA)	Team-89	2000-04-18	2001-09-25	
1212	Archery-1212	Archery	Thornbury	Team-4	2017-09-28	2019-09-21	
1213	Taekwondo-1213	Taekwondo	Noranda	Team-32	2013-06-07	2014-11-03	
1214	Pentathlon-1214	Pentathlon	Advancetown	Team-54	2008-09-24	2010-08-28	
1215	Softball-1215	Softball	McKinnon	Team-47	2013-03-18	2014-09-08	
1216	Cricket-1216	Cricket	Spring Gully (Vic.)	Team-29	2016-08-22	2018-08-10	
1217	Equestrian-1217	Equestrian	Blackbutt (NSW)	Team-60	2013-06-09	2015-05-27	
1218	Pentathlon-1218	Pentathlon	Carool	Team-77	2011-04-14	2013-01-08	
1219	Squash-1219	Squash	Birkdale	Team-38	2002-03-23	2003-08-26	
1220	Soccer-1220	Soccer	Peakhurst Heights	Team-85	2013-06-28	2014-10-28	
1221	Baseball-1221	Baseball	Mawson Lakes	Team-44	2011-02-25	2012-11-07	
1222	Badminton-1222	Badminton	Guatemala	Team-78	2009-05-16	2011-05-22	
1223	Judo-1223	Judo	Robina	Team-32	1998-01-22	1999-10-30	
1224	Taekwondo-1224	Taekwondo	Carramar (WA)	Team-72	2004-10-20	2005-11-26	
1225	Handball-1225	Handball	Greenvale (Vic.)	Team-76	2015-06-02	2017-03-20	
1226	Racquets-1226	Racquets	Ardross	Team-56	2003-11-26	2005-09-02	
1227	Netball-1227	Netball	Aberfoyle Park	Team-92	2011-03-28	2012-12-31	
1228	Canoe-1228	Canoe	Ramsgate	Team-27	2006-06-22	2008-06-21	
1229	Dancing-1229	Dancing	Nariel Valley	Team-24	2002-08-03	2003-03-22	
1230	Badminton-1230	Badminton	Arundel	Team-11	2003-05-05	2005-05-03	
1231	Pentathlon-1231	Pentathlon	The Entrance	Team-65	2007-08-27	2009-06-04	
1232	Hockey-1232	Hockey	Bald Hills (Qld)	Team-10	1999-01-20	1999-12-16	
1233	Taekwondo-1233	Taekwondo	Maroochydore	Team-22	2005-12-17	2007-07-19	
1234	Polo-1234	Polo	Pimpama	Team-60	2012-08-20	2014-08-11	
1235	Croquet-1235	Croquet	Alexander Heights	Team-23	2000-09-25	2002-08-28	
1236	Rugby 7s-1236	Rugby 7s	Parmelia	Team-70	1998-11-21	2000-11-08	
1237	Rugby 7s-1237	Rugby 7s	Burrup	Team-89	2001-06-17	2002-10-13	
1238	Karate-1238	Karate	Green Fields	Team-95	2017-02-12	2018-09-16	
1239	Sailing-1239	Sailing	Beechmont	Team-33	2002-11-08	2004-09-30	
1240	Shooting-1240	Shooting	Cromer (NSW)	Team-32	2015-12-10	2017-08-18	
1241	Badminton-1241	Badminton	East Killara	Team-10	2005-04-10	2006-10-24	
1242	Baseball-1242	Baseball	Canada Bay	Team-12	2005-08-25	2005-10-14	
1243	Rugby 7s-1243	Rugby 7s	Diamond Creek	Team-22	2005-10-03	2007-07-21	
1244	Handball-1244	Handball	Kellyville	Team-33	2012-05-19	2013-12-06	
1245	Wrestling-1245	Wrestling	Elwood	Team-92	2006-11-08	2008-03-31	
1246	Track and field-1246	Track and field	Pasadena	Team-73	2006-01-26	2007-07-28	
1247	Volleyball-1247	Volleyball	Keilor Lodge	Team-71	1999-08-22	2001-06-22	
1248	Canoe-1248	Canoe	Netherlands	Team-72	2012-10-05	2014-06-06	
1249	Rugby union-1249	Rugby union	Bundaberg South	Team-34	2011-04-01	2013-03-12	
1250	Lacrosse-1250	Lacrosse	Valla	Team-56	1998-06-01	2000-05-14	
1251	Volleyball-1251	Volleyball	Sandy Bay	Team-25	2010-11-10	2012-09-22	
1252	Triathlon-1252	Triathlon	Taigum	Team-48	2013-03-17	2014-12-13	
1253	Bowling-1253	Bowling	Finland	Team-19	2008-04-21	2008-07-25	
1254	Surfing-1254	Surfing	Prairiewood	Team-55	2000-09-11	2002-01-17	
1255	Weightlifting-1255	Weightlifting	Fitzroy North	Team-20	2016-12-20	2018-07-12	
1256	Rugby union-1256	Rugby union	Yallambie	Team-58	2005-05-11	2006-09-21	
1257	Pentathlon-1257	Pentathlon	Madagascar	Team-82	2003-09-28	2005-09-16	
1258	Lacrosse-1258	Lacrosse	North Bondi	Team-40	2009-07-04	2011-01-05	
1259	Gymnastics-1259	Gymnastics	Northwood (NSW)	Team-45	2009-09-24	2011-01-18	
1260	Boxing-1260	Boxing	Libya	Team-97	2003-06-10	2005-03-06	
1261	Triathlon-1261	Triathlon	Palmerston (ACT)	Team-21	2002-06-12	2004-05-13	
1262	Softball-1262	Softball	Dandenong	Team-74	2000-04-20	2002-04-26	
1263	Racquets-1263	Racquets	Clapham	Team-48	2016-04-12	2017-09-13	
1264	Handball-1264	Handball	Lakemba	Team-65	2003-05-05	2004-06-08	
1265	Archery-1265	Archery	East Perth	Team-8	2015-07-25	2017-03-16	
1266	Boxing-1266	Boxing	Ipswich	Team-81	2009-01-16	2010-06-27	
1267	Handball-1267	Handball	Research	Team-74	2003-08-16	2005-08-15	
1268	Fencing-1268	Fencing	Kingsbury	Team-65	2000-02-07	2002-01-25	
1269	Weightlifting-1269	Weightlifting	Bridgeman Downs	Team-94	2012-08-26	2014-07-02	
1270	Racquets-1270	Racquets	Mount Martha	Team-45	2005-08-18	2007-02-20	
1271	Climbing-1271	Climbing	Silkstone	Team-88	2000-04-25	2001-03-09	
1272	Rugby union-1272	Rugby union	Wurtulla	Team-87	2017-09-25	2019-07-24	
1273	Swimming-1273	Swimming	Geebung	Team-34	1998-05-16	1999-11-11	
1274	Dancing-1274	Dancing	Guatemala	Team-43	2017-11-24	2019-05-27	
1275	Gymnastics-1275	Gymnastics	Dianella	Team-98	2003-06-23	2004-01-21	
1276	Volleyball-1276	Volleyball	Werrington County	Team-39	2000-03-01	2001-10-05	
1277	Handball-1277	Handball	Burns Beach	Team-18	2012-03-18	2014-03-04	
1278	Handball-1278	Handball	Haywards Bay	Team-96	2005-06-02	2007-05-17	
1279	Fencing-1279	Fencing	Cranbourne South	Team-24	2017-08-19	2018-02-26	
1280	Volleyball-1280	Volleyball	Fairy Bower	Team-49	1998-09-13	2000-09-02	
1281	Badminton-1281	Badminton	Marmion	Team-78	2017-03-25	2018-12-20	
1282	Swimming-1282	Swimming	Coolamon	Team-61	2000-01-09	2002-01-01	
1283	Equestrian-1283	Equestrian	Killarney Heights	Team-53	2004-12-22	2006-12-15	
1284	Wrestling-1284	Wrestling	Hawker (ACT)	Team-47	2013-12-06	2015-10-21	
1285	Tennis-1285	Tennis	Lebanon	Team-87	2001-07-18	2003-01-03	
1286	Rugby 7s-1286	Rugby 7s	Dudley Park (WA)	Team-80	2007-12-04	2008-03-28	
1287	Lacrosse-1287	Lacrosse	Constitution Hill	Team-50	2008-09-09	2010-08-07	
1288	Track and field-1288	Track and field	Bull Creek (WA)	Team-33	2001-09-10	2002-04-26	
1289	Cricket-1289	Cricket	Sebastopol (NSW)	Team-96	2008-07-15	2010-02-05	
1290	Wrestling-1290	Wrestling	West End (Brisbane - Qld)	Team-59	1998-08-08	2000-05-28	
1291	Water polo-1291	Water polo	Dulwich	Team-49	2001-11-09	2003-08-31	
1292	Badminton-1292	Badminton	Green Point (Great Lakes - NSW)	Team-2	2007-12-11	2009-10-10	
1293	Dancing-1293	Dancing	Stonehenge (NSW)	Team-76	2003-12-15	2004-01-08	
1294	Tennis-1294	Tennis	Salisbury Plain	Team-50	2002-07-10	2003-11-30	
1295	Wrestling-1295	Wrestling	Quakers Hill	Team-82	2006-01-27	2007-10-13	
1296	Rowing-1296	Rowing	Canley Heights	Team-81	2013-03-11	2014-10-04	
1297	Polo-1297	Polo	Casey	Team-64	2001-01-04	2002-09-13	
1298	Weightlifting-1298	Weightlifting	Birkdale	Team-58	2003-09-17	2005-08-12	
1299	Sailing-1299	Sailing	Colombia	Team-18	2016-02-13	2017-12-22	
1300	Archery-1300	Archery	Seaford (Vic.)	Team-81	2015-02-21	2017-02-12	
1301	Shooting-1301	Shooting	Langwarrin	Team-36	2010-10-24	2012-10-08	
1302	Racquets-1302	Racquets	Liberty Grove	Team-35	1999-02-26	2001-01-01	
1303	Polo-1303	Polo	Maryborough West	Team-62	2000-06-17	2001-04-23	
1304	Polo-1304	Polo	Wandin North	Team-44	2006-05-19	2008-03-17	
1305	Volleyball-1305	Volleyball	Mount Waverley	Team-91	2009-02-10	2011-01-23	
1306	Bowling-1306	Bowling	Adamstown	Team-30	2004-03-08	2005-03-30	
1307	Karate-1307	Karate	Wildwood	Team-62	2007-09-21	2009-09-17	
1308	Climbing-1308	Climbing	Zillmere	Team-14	2001-07-13	2003-07-16	
1309	Fencing-1309	Fencing	Quakers Hill	Team-46	2008-04-18	2009-08-25	
1310	Weightlifting-1310	Weightlifting	Wirlinga	Team-59	2003-03-23	2005-02-23	
1311	Weightlifting-1311	Weightlifting	Tanah Merah	Team-9	2003-05-28	2004-12-22	
1312	Triathlon-1312	Triathlon	Croydon (SA)	Team-22	2004-03-20	2006-02-06	
1313	Baseball-1313	Baseball	West Wodonga	Team-28	2013-12-02	2014-12-11	
1314	Cycling-1314	Cycling	Girraween (NT)	Team-46	2006-11-05	2008-08-26	
1315	Polo-1315	Polo	Keysborough	Team-97	2002-11-13	2004-10-05	
1316	Rowing-1316	Rowing	Woodrising	Team-3	2000-06-22	2001-09-18	
1317	Softball-1317	Softball	Long Gully	Team-98	2010-06-25	2012-06-28	
